X,Y,objectid,globalid,reporting_date,doubling_rate,current_testing_capacity,available_contact_tracing_perso,daily_contact_tracing_need,trained_case_and_contact_tracin,estimated_active_cases,estimated_active_case_change,estimated_recovered,estimated_recovered_change,average_daily_cases,casecontact_tracing_capacity,testing_capacity_multiplier,cases_per_100000_using_moving_a
0,0,1,d31d02c5-0739-44b6-84ce-c25ce6f656c0,2020/05/01 17:00:00+00,18,1600,87,,,,,,,,,,
0,0,2,bcf25449-31be-43cd-8ca3-e9728070bb1e,2020/05/02 17:00:00+00,14,1600,87,,,,,,,,,,
0,0,3,feb6c5f4-efa1-4eeb-8bba-35837aeefa1f,2020/05/04 17:00:00+00,24,1600,87,,,,,,,,,,
0,0,4,2f175c38-dd18-4f7f-87bb-116baec38268,2020/05/06 17:00:00+00,28,1600,87,17,,,,,,,,,
0,0,5,ca3e48fd-8dfa-415b-89f2-0e9c04c49501,2020/05/13 17:00:00+00,28,1600,97,20,,,,,,,,,
0,0,6,35bb798c-ca88-4ab9-82ab-e7e47b6008fb,2020/05/18 17:00:00+00,36,3960,97,20,,,,,,,,,
0,0,7,ee18298e-2f80-42f4-8859-84d3f3cafae8,2020/06/01 17:00:00+00,29,3960,105,25,,,,,,,,,
0,0,8,41fdbed5-fab8-4d06-8691-2d7b82b9b2fd,2020/06/08 17:00:00+00,29,3960,110,25,,,,,,,,,
0,0,9,ca2c49f1-332e-496b-8ef6-c98f9566eb31,2020/06/15 17:00:00+00,20,3960,95,100,,,,,,,,,
0,0,10,e7f920e5-995e-48d8-8b7c-928b5e5d8ff8,2020/06/21 17:00:00+00,13,4554,62,100,,,,,,,,,
0,0,11,a30b45d2-12c8-43da-8b7a-2f95c5b76b58,2020/06/29 17:00:00+00,11,5754,62,100,,,,,,,,,
0,0,12,8c66307c-84f4-4e23-8051-ffb1f82f8159,2020/07/06 17:00:00+00,11,7117,60,90,110,,,,,,,,
0,0,13,72971681-0b4c-4074-8e40-8bafa91d6818,2020/07/13 17:00:00+00,16,7117,60,90,110,,,,,,,,
0,0,14,f17a2bb7-84a5-4c20-8d54-8a71b52bcaf9,2020/07/19 17:00:00+00,16,7417,70,110,110,5780,,21505,,,,,
0,0,15,7f9cde29-2ecd-4d26-8d18-219863913ba0,2020/07/26 17:00:00+00,18,7417,70,97,110,8315,,26757,,,,,
0,0,16,a200a752-4ef8-4403-80cf-7fd81e3cd4a0,2020/08/02 17:00:00+00,21,7580,70,82,110,6841,,33873,,,,,
0,0,17,d715e356-d81c-41de-8527-a8b4ca9df68f,2020/08/09 17:00:00+00,24,7580,45,29,163,6207,,34117,,181,1400,,
0,0,18,12620bdd-626a-4b01-856b-51aaf8a13c7f,2020/08/16 17:00:00+00,40,7580,,,,4520,,38724,,181,1400,,
0,0,19,369cae6e-b2e8-4249-8e33-ddb4f14e023b,2020/08/23 17:00:00+00,40,7580,,,,3220,,40896,,143,1400,4,
0,0,20,b128443b-468f-451b-8663-bfc31ba8b896,2020/08/30 17:00:00+00,65,,,,,,,,,164,1400,,
0,0,21,0d997beb-36e0-4d44-89f1-be05f639f5f2,2020/09/06 17:00:00+00,65,,,,,,,,,146,1400,,
0,0,22,d87be1ab-e9d2-42a3-820c-d087eef272ea,2020/09/13 17:00:00+00,90,,,,,,,,,126,1400,,
0,0,23,5eb843fa-207d-488b-8a57-7a4990da3dd5,2020/09/20 17:00:00+00,90,,,,,1428,,45778,,141,1400,,
0,0,24,bf49505a-4a3c-47cc-8a09-307e9faa183f,2020/09/27 17:00:00+00,90,,,,,,,,,152,1400,,
0,0,25,747fc145-b72f-48a9-81c1-14a52a220419,2020/10/04 17:00:00+00,90,,,,,,,,,156,1400,,
0,0,26,27ca2722-d429-4d69-80cd-2986468edb44,2020/10/11 17:00:00+00,90,6552,,,,,,,,147,1400,6,
0,0,27,8fecb87e-bc9f-47f8-8629-04eaabc8eca2,2020/10/18 17:00:00+00,90,6552,,,,,,,,152,1400,6,
0,0,28,d8f64cb6-7daf-4085-8659-42a69eff842a,2020/10/25 17:00:00+00,90,6035,,,,,,,,184,1400,3,
0,0,29,40316939-8810-4450-8d3b-8f8ab000346a,2020/11/01 18:00:00+00,90,6035,,,,,,,,207,1400,3,
0,0,30,5f6f5d8b-65b2-4498-827d-2a315edcb232,2020/11/09 18:00:00+00,90,10000,,,,,,,,198,1400,7,
0,0,31,cc6cb3d1-df0e-4153-8871-1ff6e71649a0,2020/11/15 18:00:00+00,90,10000,,,,,,,,328,1400,7,
0,0,32,75bf0038-7658-4ed3-8e04-b7fb22732b54,2020/11/22 18:00:00+00,90,6197,,,,,,,,476,1400,2,38.6
0,0,33,ea8b3858-8ccb-42e1-8d35-dbfa3fa64fdc,2020/11/30 18:00:00+00,78,10000,,,,,,,,774,1400,2,38.6
0,0,34,d82bf11b-e6ee-4a67-88af-9d6ce3e6d51b,2020/12/07 18:00:00+00,,10000,,,,,,,,980,1400,2,48.9
