,Bexar,Dallas
raw_svi2018 min,0.0099,0.0002
raw_svi2018 max,0.9999,0.9998
raw_svi2018 mean,0.6166273480662988,0.5794333965844412
raw_svi2016 min,0.0081,0.0004
raw_svi2016 max,0.9994,0.9969
raw_svi2016 mean,0.5358787292817679,0.5166895635673622
raw_svi2014 min,0.0033,0.0008
raw_svi2014 max,0.9983,0.9981
raw_svi2014 mean,0.5326196132596681,0.5175201138519926
delta min,-0.2903,-0.28080000000000005
delta max,0.4558,0.4008
delta mean,0.08400773480662979,0.0619132827324478
avg3yr min,0.008100000000000001,0.0011333333333333334
avg3yr max,0.9992,0.9956999999999999
avg3yr mean,0.5617085635359116,0.5378810246679318
r_soci_total2018 mean,0.5764088397790057,0.5634273244781784
r_comp_total2018 mean,0.5801939226519334,0.42807039848197365
r_status_total2018 mean,0.78872182320442,0.7916844402277029
r_trans_total2018 mean,0.48972900552486215,0.4791277039848198
r_soci_total2016 mean,0.5163864640883976,0.5282074003795061
r_comp_total2016 mean,0.560888121546961,0.4203637571157495
r_status_total2016 mean,0.5970118784530383,0.6263185958254269
r_trans_total2016 mean,0.48273950276243094,0.4763821631878556
r_soci_total2014 mean,0.5129096685082871,0.5345914611005684
r_comp_total2014 mean,0.5524604972375695,0.42461897533206827
r_status_total2014 mean,0.5967022099447515,0.6192586337760905
r_trans_total2014 mean,0.4855889502762433,0.4784777988614801
raw_svi_mean_change18-14,0.08400773480663071,0.06191328273244856
r_soci_mean_change18-14,0.06349917127071858,0.028835863377610016
r_comp_mean_change18-14,0.027733425414363855,0.003451423149905375
r_status_mean_change18-14,0.19201961325966843,0.17242580645161243
r_trans_mean_change18-14,0.004140055248618824,0.000649905123339678
