,FIPS
0,48029110100
1,48029110300
2,48029110500
3,48029110600
4,48029110700
5,48029110800
6,48029110900
7,48029111000
8,48029120100
9,48029120300
10,48029120400
11,48029120501
12,48029120502
13,48029120600
14,48029120701
15,48029120702
16,48029120800
17,48029120901
18,48029120902
19,48029121000
20,48029121108
21,48029121110
22,48029121111
23,48029121112
24,48029121115
25,48029121116
26,48029121117
27,48029121118
28,48029121119
29,48029121120
30,48029121121
31,48029121122
32,48029121203
33,48029121204
34,48029121205
35,48029121206
36,48029121300
37,48029121402
38,48029121403
39,48029121404
40,48029121501
41,48029121504
42,48029121505
43,48029121506
44,48029121507
45,48029121508
46,48029121601
47,48029121604
48,48029121605
49,48029121606
50,48029121701
51,48029121702
52,48029121802
53,48029121803
54,48029121804
55,48029121808
56,48029121809
57,48029121810
58,48029121811
59,48029121812
60,48029121813
61,48029121903
62,48029121904
63,48029121905
64,48029121906
65,48029121907
66,48029121908
67,48029121909
68,48029121910
69,48029130200
70,48029130300
71,48029130401
72,48029130402
73,48029130500
74,48029130600
75,48029130700
76,48029130800
77,48029130900
78,48029131000
79,48029131100
80,48029131200
81,48029131300
82,48029131401
83,48029131402
84,48029131503
85,48029131504
86,48029131505
87,48029131506
88,48029131507
89,48029131601
90,48029131606
91,48029131608
92,48029131609
93,48029131610
94,48029131611
95,48029131612
96,48029131613
97,48029131614
98,48029131615
99,48029131700
100,48029131801
101,48029131802
102,48029140100
103,48029140200
104,48029140300
105,48029140400
106,48029140500
107,48029140600
108,48029140700
109,48029140800
110,48029140900
111,48029141000
112,48029141101
113,48029141102
114,48029141200
115,48029141300
116,48029141402
117,48029141403
118,48029141404
119,48029141600
120,48029141700
121,48029141800
122,48029141900
123,48029150100
124,48029150300
125,48029150400
126,48029150501
127,48029150502
128,48029150600
129,48029150700
130,48029150800
131,48029150900
132,48029151000
133,48029151100
134,48029151200
135,48029151301
136,48029151302
137,48029151400
138,48029151500
139,48029151600
140,48029151700
141,48029151900
142,48029152000
143,48029152100
144,48029152201
145,48029152202
146,48029160100
147,48029160200
148,48029160300
149,48029160400
150,48029160501
151,48029160502
152,48029160600
153,48029160701
154,48029160702
155,48029160901
156,48029160902
157,48029161000
158,48029161100
159,48029161200
160,48029161302
161,48029161303
162,48029161304
163,48029161400
164,48029161501
165,48029161503
166,48029161504
167,48029161600
168,48029161801
169,48029161802
170,48029161901
171,48029161902
172,48029162001
173,48029162003
174,48029162004
175,48029170101
176,48029170102
177,48029170200
178,48029170300
179,48029170401
180,48029170402
181,48029170500
182,48029170600
183,48029170700
184,48029170800
185,48029170900
186,48029171000
187,48029171100
188,48029171200
189,48029171301
190,48029171302
191,48029171401
192,48029171402
193,48029171501
194,48029171502
195,48029171601
196,48029171602
197,48029171700
198,48029171801
199,48029171802
200,48029171902
201,48029171903
202,48029171912
203,48029171913
204,48029171914
205,48029171915
206,48029171916
207,48029171917
208,48029171918
209,48029171919
210,48029171920
211,48029171921
212,48029171922
213,48029171923
214,48029171924
215,48029171925
216,48029172002
217,48029172003
218,48029172004
219,48029172005
220,48029172006
221,48029172007
222,48029180101
223,48029180102
224,48029180201
225,48029180202
226,48029180300
227,48029180400
228,48029180501
229,48029180503
230,48029180504
231,48029180602
232,48029180603
233,48029180604
234,48029180701
235,48029180702
236,48029180800
237,48029180901
238,48029180902
239,48029181001
240,48029181003
241,48029181004
242,48029181005
243,48029181100
244,48029181200
245,48029181301
246,48029181302
247,48029181303
248,48029181402
249,48029181403
250,48029181404
251,48029181503
252,48029181504
253,48029181505
254,48029181506
255,48029181601
256,48029181602
257,48029181703
258,48029181704
259,48029181705
260,48029181711
261,48029181712
262,48029181713
263,48029181715
264,48029181716
265,48029181718
266,48029181720
267,48029181721
268,48029181722
269,48029181723
270,48029181724
271,48029181725
272,48029181726
273,48029181727
274,48029181728
275,48029181729
276,48029181730
277,48029181731
278,48029181808
279,48029181809
280,48029181811
281,48029181813
282,48029181814
283,48029181815
284,48029181816
285,48029181817
286,48029181818
287,48029181819
288,48029181820
289,48029181821
290,48029181822
291,48029181823
292,48029181824
293,48029181825
294,48029181826
295,48029181901
296,48029181902
297,48029182001
298,48029182002
299,48029182003
300,48029182101
301,48029182102
302,48029182103
303,48029182105
304,48029182106
305,48029190100
306,48029190200
307,48029190400
308,48029190501
309,48029190503
310,48029190504
311,48029190601
312,48029190603
313,48029190604
314,48029190700
315,48029190800
316,48029190901
317,48029190902
318,48029191003
319,48029191004
320,48029191005
321,48029191006
322,48029191101
323,48029191102
324,48029191201
325,48029191202
326,48029191303
327,48029191304
328,48029191405
329,48029191406
330,48029191408
331,48029191409
332,48029191410
333,48029191411
334,48029191412
335,48029191413
336,48029191503
337,48029191504
338,48029191505
339,48029191506
340,48029191701
341,48029191702
342,48029191804
343,48029191806
344,48029191807
345,48029191808
346,48029191809
347,48029191810
348,48029191811
349,48029191812
350,48029191813
351,48029191814
352,48029191815
353,48029191816
354,48029191817
355,48029191900
356,48029192000
357,48029192100
358,48029192200
359,48029192300
360,48029980001
361,48029980002
362,48029980003
363,48029980004
364,48029980005
365,48029980100
